model,production_week,market,units
e:Ny1,-24,UK,41
e:Ny1,-24,Germany,32
e:Ny1,-24,France,24
e:Ny1,-24,Belgium,17
e:Ny1,-24,Nordics,20
Civic,-23,UK,169
Civic,-23,Germany,133
Civic,-23,France,98
Civic,-23,Italy,126
Civic,-23,Netherlands,84
Civic,-23,Poland,95
CR-V,-23,UK,168
CR-V,-23,Germany,133
CR-V,-23,France,98
CR-V,-23,Italy,126
CR-V,-23,Netherlands,84
CR-V,-23,Poland,95
HR-V,-23,UK,84
HR-V,-23,Germany,67
HR-V,-23,France,49
HR-V,-23,Italy,63
HR-V,-23,Netherlands,42
HR-V,-23,Poland,47
Jazz,-23,UK,101
Jazz,-23,Germany,80
Jazz,-23,France,59
Jazz,-23,Italy,76
Jazz,-23,Netherlands,50
Jazz,-23,Poland,57
e:Ny1,-23,UK,49
e:Ny1,-23,Germany,39
e:Ny1,-23,France,28
e:Ny1,-23,Netherlands,24
Civic,-22,UK,178
Civic,-22,Germany,141
Civic,-22,France,104
Civic,-22,Spain,119
Civic,-22,Belgium,74
Civic,-22,Nordics,89
CR-V,-22,UK,178
CR-V,-22,Germany,141
CR-V,-22,France,104
CR-V,-22,Spain,119
CR-V,-22,Belgium,74
CR-V,-22,Nordics,89
HR-V,-22,UK,89
HR-V,-22,Germany,71
HR-V,-22,France,52
HR-V,-22,Spain,59
HR-V,-22,Belgium,37
HR-V,-22,Nordics,45
Jazz,-22,UK,107
Jazz,-22,Germany,85
Jazz,-22,France,62
Jazz,-22,Spain,71
Jazz,-22,Belgium,45
Jazz,-22,Nordics,53
e:Ny1,-22,UK,44
e:Ny1,-22,Germany,35
e:Ny1,-22,France,25
e:Ny1,-22,Belgium,18
e:Ny1,-22,Nordics,22
Civic,-21,UK,173
Civic,-21,Germany,137
Civic,-21,France,101
Civic,-21,Italy,130
Civic,-21,Netherlands,87
Civic,-21,Portugal,98
CR-V,-21,UK,173
CR-V,-21,Germany,137
CR-V,-21,France,101
CR-V,-21,Italy,130
CR-V,-21,Netherlands,87
CR-V,-21,Portugal,98
HR-V,-21,UK,87
HR-V,-21,Germany,69
HR-V,-21,France,50
HR-V,-21,Italy,65
HR-V,-21,Netherlands,43
HR-V,-21,Portugal,49
Jazz,-21,UK,104
Jazz,-21,Germany,82
Jazz,-21,France,61
Jazz,-21,Italy,78
Jazz,-21,Netherlands,52
Jazz,-21,Portugal,59
e:Ny1,-21,UK,52
e:Ny1,-21,Germany,42
e:Ny1,-21,France,31
e:Ny1,-21,Netherlands,26
Civic,-20,UK,161
Civic,-20,Germany,128
Civic,-20,France,94
Civic,-20,Spain,107
Civic,-20,Belgium,67
Civic,-20,Poland,91
Civic,-20,Nordics,81
CR-V,-20,UK,161
CR-V,-20,Germany,128
CR-V,-20,France,94
CR-V,-20,Spain,107
CR-V,-20,Belgium,67
CR-V,-20,Poland,91
CR-V,-20,Nordics,81
HR-V,-20,UK,81
HR-V,-20,Germany,64
HR-V,-20,France,47
HR-V,-20,Spain,54
HR-V,-20,Belgium,34
HR-V,-20,Poland,45
HR-V,-20,Nordics,40
Jazz,-20,UK,97
Jazz,-20,Germany,77
Jazz,-20,France,57
Jazz,-20,Spain,65
Jazz,-20,Belgium,40
Jazz,-20,Poland,54
Jazz,-20,Nordics,48
e:Ny1,-20,UK,47
e:Ny1,-20,Germany,37
e:Ny1,-20,France,27
e:Ny1,-20,Belgium,20
e:Ny1,-20,Nordics,24
Civic,-19,UK,195
Civic,-19,Germany,154
Civic,-19,France,114
Civic,-19,Italy,146
Civic,-19,Netherlands,97
CR-V,-19,UK,195
CR-V,-19,Germany,154
CR-V,-19,France,113
CR-V,-19,Italy,146
CR-V,-19,Netherlands,97
HR-V,-19,UK,97
HR-V,-19,Germany,77
HR-V,-19,France,57
HR-V,-19,Italy,73
HR-V,-19,Netherlands,49
Jazz,-19,UK,117
Jazz,-19,Germany,92
Jazz,-19,France,68
Jazz,-19,Italy,88
Jazz,-19,Netherlands,58
e:Ny1,-19,UK,53
e:Ny1,-19,Germany,42
e:Ny1,-19,France,31
e:Ny1,-19,Netherlands,27
Civic,-18,UK,155
Civic,-18,Germany,123
Civic,-18,France,90
Civic,-18,Spain,103
Civic,-18,Belgium,65
Civic,-18,Nordics,78
Civic,-18,Portugal,87
CR-V,-18,UK,155
CR-V,-18,Germany,123
CR-V,-18,France,90
CR-V,-18,Spain,103
CR-V,-18,Belgium,65
CR-V,-18,Nordics,78
CR-V,-18,Portugal,87
HR-V,-18,UK,77
HR-V,-18,Germany,61
HR-V,-18,France,45
HR-V,-18,Spain,52
HR-V,-18,Belgium,32
HR-V,-18,Nordics,39
HR-V,-18,Portugal,44
Jazz,-18,UK,93
Jazz,-18,Germany,74
Jazz,-18,France,54
Jazz,-18,Spain,62
Jazz,-18,Belgium,39
Jazz,-18,Nordics,46
Jazz,-18,Portugal,52
e:Ny1,-18,UK,47
e:Ny1,-18,Germany,37
e:Ny1,-18,France,27
e:Ny1,-18,Belgium,20
e:Ny1,-18,Nordics,24
Civic,-17,UK,170
Civic,-17,Germany,134
Civic,-17,France,99
Civic,-17,Italy,127
Civic,-17,Netherlands,85
Civic,-17,Poland,95
CR-V,-17,UK,170
CR-V,-17,Germany,134
CR-V,-17,France,99
CR-V,-17,Italy,127
CR-V,-17,Netherlands,85
CR-V,-17,Poland,95
HR-V,-17,UK,85
HR-V,-17,Germany,67
HR-V,-17,France,49
HR-V,-17,Italy,64
HR-V,-17,Netherlands,42
HR-V,-17,Poland,48
Jazz,-17,UK,102
Jazz,-17,Germany,81
Jazz,-17,France,59
Jazz,-17,Italy,76
Jazz,-17,Netherlands,51
Jazz,-17,Poland,57
e:Ny1,-17,UK,56
e:Ny1,-17,Germany,44
e:Ny1,-17,France,33
e:Ny1,-17,Netherlands,28
Civic,-16,UK,169
Civic,-16,Germany,134
Civic,-16,France,99
Civic,-16,Spain,113
Civic,-16,Belgium,70
Civic,-16,Nordics,85
CR-V,-16,UK,169
CR-V,-16,Germany,134
CR-V,-16,France,99
CR-V,-16,Spain,113
CR-V,-16,Belgium,70
CR-V,-16,Nordics,85
HR-V,-16,UK,85
HR-V,-16,Germany,67
HR-V,-16,France,49
HR-V,-16,Spain,57
HR-V,-16,Belgium,35
HR-V,-16,Nordics,42
Jazz,-16,UK,102
Jazz,-16,Germany,80
Jazz,-16,France,59
Jazz,-16,Spain,68
Jazz,-16,Belgium,42
Jazz,-16,Nordics,51
e:Ny1,-16,UK,47
e:Ny1,-16,Germany,37
e:Ny1,-16,France,27
e:Ny1,-16,Belgium,20
e:Ny1,-16,Nordics,24
Civic,-15,UK,161
Civic,-15,Germany,127
Civic,-15,France,94
Civic,-15,Italy,121
Civic,-15,Netherlands,80
Civic,-15,Portugal,90
CR-V,-15,UK,161
CR-V,-15,Germany,127
CR-V,-15,France,94
CR-V,-15,Italy,121
CR-V,-15,Netherlands,80
CR-V,-15,Portugal,90
HR-V,-15,UK,80
HR-V,-15,Germany,64
HR-V,-15,France,47
HR-V,-15,Italy,60
HR-V,-15,Netherlands,40
HR-V,-15,Portugal,45
Jazz,-15,UK,97
Jazz,-15,Germany,77
Jazz,-15,France,56
Jazz,-15,Italy,72
Jazz,-15,Netherlands,48
Jazz,-15,Portugal,54
e:Ny1,-15,UK,55
e:Ny1,-15,Germany,44
e:Ny1,-15,France,32
e:Ny1,-15,Netherlands,27
Civic,-14,UK,153
Civic,-14,Germany,121
Civic,-14,France,90
Civic,-14,Spain,102
Civic,-14,Belgium,64
Civic,-14,Poland,86
Civic,-14,Nordics,77
CR-V,-14,UK,153
CR-V,-14,Germany,121
CR-V,-14,France,90
CR-V,-14,Spain,102
CR-V,-14,Belgium,64
CR-V,-14,Poland,86
CR-V,-14,Nordics,77
HR-V,-14,UK,76
HR-V,-14,Germany,61
HR-V,-14,France,45
HR-V,-14,Spain,51
HR-V,-14,Belgium,32
HR-V,-14,Poland,43
HR-V,-14,Nordics,38
Jazz,-14,UK,92
Jazz,-14,Germany,73
Jazz,-14,France,54
Jazz,-14,Spain,61
Jazz,-14,Belgium,38
Jazz,-14,Poland,52
Jazz,-14,Nordics,46
e:Ny1,-14,UK,51
e:Ny1,-14,Germany,40
e:Ny1,-14,France,29
e:Ny1,-14,Belgium,21
e:Ny1,-14,Nordics,25
Civic,-13,UK,185
Civic,-13,Germany,146
Civic,-13,France,108
Civic,-13,Italy,138
Civic,-13,Netherlands,92
CR-V,-13,UK,185
CR-V,-13,Germany,146
CR-V,-13,France,108
CR-V,-13,Italy,138
CR-V,-13,Netherlands,92
HR-V,-13,UK,92
HR-V,-13,Germany,73
HR-V,-13,France,54
HR-V,-13,Italy,69
HR-V,-13,Netherlands,46
Jazz,-13,UK,111
Jazz,-13,Germany,88
Jazz,-13,France,64
Jazz,-13,Italy,83
Jazz,-13,Netherlands,55
e:Ny1,-13,UK,57
e:Ny1,-13,Germany,45
e:Ny1,-13,France,33
e:Ny1,-13,Netherlands,29
Civic,-12,UK,149
Civic,-12,Germany,118
Civic,-12,France,87
Civic,-12,Spain,100
Civic,-12,Belgium,62
Civic,-12,Nordics,75
Civic,-12,Portugal,84
CR-V,-12,UK,149
CR-V,-12,Germany,118
CR-V,-12,France,87
CR-V,-12,Spain,100
CR-V,-12,Belgium,62
CR-V,-12,Nordics,75
CR-V,-12,Portugal,84
HR-V,-12,UK,75
HR-V,-12,Germany,59
HR-V,-12,France,44
HR-V,-12,Spain,50
HR-V,-12,Belgium,31
HR-V,-12,Nordics,37
HR-V,-12,Portugal,42
Jazz,-12,UK,90
Jazz,-12,Germany,71
Jazz,-12,France,52
Jazz,-12,Spain,60
Jazz,-12,Belgium,37
Jazz,-12,Nordics,45
Jazz,-12,Portugal,50
e:Ny1,-12,UK,51
e:Ny1,-12,Germany,40
e:Ny1,-12,France,30
e:Ny1,-12,Belgium,21
e:Ny1,-12,Nordics,26
Civic,-11,UK,157
Civic,-11,Germany,124
Civic,-11,France,91
Civic,-11,Italy,117
Civic,-11,Netherlands,78
Civic,-11,Poland,88
CR-V,-11,UK,156
CR-V,-11,Germany,124
CR-V,-11,France,91
CR-V,-11,Italy,117
CR-V,-11,Netherlands,78
CR-V,-11,Poland,88
HR-V,-11,UK,78
HR-V,-11,Germany,62
HR-V,-11,France,45
HR-V,-11,Italy,59
HR-V,-11,Netherlands,39
HR-V,-11,Poland,44
Jazz,-11,UK,94
Jazz,-11,Germany,74
Jazz,-11,France,55
Jazz,-11,Italy,70
Jazz,-11,Netherlands,47
Jazz,-11,Poland,53
e:Ny1,-11,UK,58
e:Ny1,-11,Germany,46
e:Ny1,-11,France,33
e:Ny1,-11,Netherlands,29
Civic,-10,UK,171
Civic,-10,Germany,135
Civic,-10,France,100
Civic,-10,Spain,114
Civic,-10,Belgium,71
Civic,-10,Nordics,86
CR-V,-10,UK,171
CR-V,-10,Germany,135
CR-V,-10,France,100
CR-V,-10,Spain,114
CR-V,-10,Belgium,71
CR-V,-10,Nordics,86
HR-V,-10,UK,85
HR-V,-10,Germany,68
HR-V,-10,France,50
HR-V,-10,Spain,57
HR-V,-10,Belgium,35
HR-V,-10,Nordics,43
Jazz,-10,UK,103
Jazz,-10,Germany,81
Jazz,-10,France,60
Jazz,-10,Spain,68
Jazz,-10,Belgium,43
Jazz,-10,Nordics,51
e:Ny1,-10,UK,53
e:Ny1,-10,Germany,42
e:Ny1,-10,France,31
e:Ny1,-10,Belgium,22
e:Ny1,-10,Nordics,27
Civic,-9,UK,164
Civic,-9,Germany,130
Civic,-9,France,96
Civic,-9,Italy,123
Civic,-9,Netherlands,82
Civic,-9,Portugal,92
CR-V,-9,UK,164
CR-V,-9,Germany,130
CR-V,-9,France,96
CR-V,-9,Italy,123
CR-V,-9,Netherlands,82
CR-V,-9,Portugal,92
HR-V,-9,UK,82
HR-V,-9,Germany,65
HR-V,-9,France,48
HR-V,-9,Italy,61
HR-V,-9,Netherlands,41
HR-V,-9,Portugal,46
Jazz,-9,UK,98
Jazz,-9,Germany,78
Jazz,-9,France,58
Jazz,-9,Italy,74
Jazz,-9,Netherlands,49
Jazz,-9,Portugal,55
e:Ny1,-9,UK,63
e:Ny1,-9,Germany,50
e:Ny1,-9,France,36
e:Ny1,-9,Netherlands,31
Civic,-8,UK,146
Civic,-8,Germany,116
Civic,-8,France,85
Civic,-8,Spain,97
Civic,-8,Belgium,61
Civic,-8,Poland,82
Civic,-8,Nordics,73
CR-V,-8,UK,146
CR-V,-8,Germany,116
CR-V,-8,France,85
CR-V,-8,Spain,97
CR-V,-8,Belgium,61
CR-V,-8,Poland,82
CR-V,-8,Nordics,73
HR-V,-8,UK,73
HR-V,-8,Germany,58
HR-V,-8,France,43
HR-V,-8,Spain,49
HR-V,-8,Belgium,30
HR-V,-8,Poland,41
HR-V,-8,Nordics,36
Jazz,-8,UK,88
Jazz,-8,Germany,69
Jazz,-8,France,51
Jazz,-8,Spain,58
Jazz,-8,Belgium,37
Jazz,-8,Poland,49
Jazz,-8,Nordics,44
e:Ny1,-8,UK,54
e:Ny1,-8,Germany,43
e:Ny1,-8,France,31
e:Ny1,-8,Belgium,22
e:Ny1,-8,Nordics,27
Civic,-7,UK,182
Civic,-7,Germany,144
Civic,-7,France,106
Civic,-7,Italy,136
Civic,-7,Netherlands,91
CR-V,-7,UK,182
CR-V,-7,Germany,144
CR-V,-7,France,106
CR-V,-7,Italy,136
CR-V,-7,Netherlands,91
HR-V,-7,UK,91
HR-V,-7,Germany,72
HR-V,-7,France,53
HR-V,-7,Italy,68
HR-V,-7,Netherlands,46
Jazz,-7,UK,109
Jazz,-7,Germany,86
Jazz,-7,France,64
Jazz,-7,Italy,82
Jazz,-7,Netherlands,55
e:Ny1,-7,UK,62
e:Ny1,-7,Germany,49
e:Ny1,-7,France,37
e:Ny1,-7,Netherlands,31
Civic,-6,UK,147
Civic,-6,Germany,117
Civic,-6,France,86
Civic,-6,Spain,98
Civic,-6,Belgium,61
Civic,-6,Nordics,74
Civic,-6,Portugal,83
CR-V,-6,UK,147
CR-V,-6,Germany,116
CR-V,-6,France,86
CR-V,-6,Spain,98
CR-V,-6,Belgium,61
CR-V,-6,Nordics,74
CR-V,-6,Portugal,83
HR-V,-6,UK,74
HR-V,-6,Germany,58
HR-V,-6,France,43
HR-V,-6,Spain,49
HR-V,-6,Belgium,31
HR-V,-6,Nordics,37
HR-V,-6,Portugal,41
Jazz,-6,UK,88
Jazz,-6,Germany,70
Jazz,-6,France,51
Jazz,-6,Spain,59
Jazz,-6,Belgium,37
Jazz,-6,Nordics,44
Jazz,-6,Portugal,50
e:Ny1,-6,UK,56
e:Ny1,-6,Germany,44
e:Ny1,-6,France,33
e:Ny1,-6,Belgium,23
e:Ny1,-6,Nordics,28
Civic,-5,UK,147
Civic,-5,Germany,116
Civic,-5,France,86
Civic,-5,Italy,110
Civic,-5,Netherlands,73
Civic,-5,Poland,83
CR-V,-5,UK,147
CR-V,-5,Germany,116
CR-V,-5,France,86
CR-V,-5,Italy,110
CR-V,-5,Netherlands,73
CR-V,-5,Poland,82
HR-V,-5,UK,73
HR-V,-5,Germany,58
HR-V,-5,France,43
HR-V,-5,Italy,55
HR-V,-5,Netherlands,37
HR-V,-5,Poland,41
Jazz,-5,UK,88
Jazz,-5,Germany,70
Jazz,-5,France,51
Jazz,-5,Italy,66
Jazz,-5,Netherlands,44
Jazz,-5,Poland,50
e:Ny1,-5,UK,60
e:Ny1,-5,Germany,47
e:Ny1,-5,France,35
e:Ny1,-5,Netherlands,30
Civic,-4,UK,159
Civic,-4,Germany,126
Civic,-4,France,93
Civic,-4,Spain,106
Civic,-4,Belgium,66
Civic,-4,Nordics,79
CR-V,-4,UK,159
CR-V,-4,Germany,126
CR-V,-4,France,93
CR-V,-4,Spain,106
CR-V,-4,Belgium,66
CR-V,-4,Nordics,79
HR-V,-4,UK,80
HR-V,-4,Germany,63
HR-V,-4,France,46
HR-V,-4,Spain,53
HR-V,-4,Belgium,33
HR-V,-4,Nordics,40
Jazz,-4,UK,95
Jazz,-4,Germany,75
Jazz,-4,France,56
Jazz,-4,Spain,63
Jazz,-4,Belgium,40
Jazz,-4,Nordics,48
e:Ny1,-4,UK,54
e:Ny1,-4,Germany,43
e:Ny1,-4,France,32
e:Ny1,-4,Belgium,23
e:Ny1,-4,Nordics,27
Civic,-3,UK,151
Civic,-3,Germany,119
Civic,-3,France,88
Civic,-3,Italy,113
Civic,-3,Netherlands,75
Civic,-3,Portugal,85
CR-V,-3,UK,150
CR-V,-3,Germany,119
CR-V,-3,France,88
CR-V,-3,Italy,113
CR-V,-3,Netherlands,75
CR-V,-3,Portugal,85
HR-V,-3,UK,75
HR-V,-3,Germany,60
HR-V,-3,France,44
HR-V,-3,Italy,56
HR-V,-3,Netherlands,38
HR-V,-3,Portugal,42
Jazz,-3,UK,90
Jazz,-3,Germany,71
Jazz,-3,France,53
Jazz,-3,Italy,68
Jazz,-3,Netherlands,45
Jazz,-3,Portugal,51
e:Ny1,-3,UK,64
e:Ny1,-3,Germany,50
e:Ny1,-3,France,37
e:Ny1,-3,Netherlands,32
Civic,-2,UK,141
Civic,-2,Germany,112
Civic,-2,France,82
Civic,-2,Spain,94
Civic,-2,Belgium,59
Civic,-2,Poland,79
Civic,-2,Nordics,70
CR-V,-2,UK,141
CR-V,-2,Germany,112
CR-V,-2,France,82
CR-V,-2,Spain,94
CR-V,-2,Belgium,59
CR-V,-2,Poland,79
CR-V,-2,Nordics,70
HR-V,-2,UK,71
HR-V,-2,Germany,56
HR-V,-2,France,41
HR-V,-2,Spain,47
HR-V,-2,Belgium,29
HR-V,-2,Poland,40
HR-V,-2,Nordics,35
Jazz,-2,UK,85
Jazz,-2,Germany,67
Jazz,-2,France,49
Jazz,-2,Spain,56
Jazz,-2,Belgium,35
Jazz,-2,Poland,48
Jazz,-2,Nordics,42
e:Ny1,-2,UK,57
e:Ny1,-2,Germany,45
e:Ny1,-2,France,33
e:Ny1,-2,Belgium,24
e:Ny1,-2,Nordics,28
Civic,-1,UK,159
Civic,-1,Germany,126
Civic,-1,France,93
Civic,-1,Italy,119
Civic,-1,Netherlands,79
CR-V,-1,UK,159
CR-V,-1,Germany,126
CR-V,-1,France,93
CR-V,-1,Italy,119
CR-V,-1,Netherlands,79
HR-V,-1,UK,79
HR-V,-1,Germany,63
HR-V,-1,France,46
HR-V,-1,Italy,60
HR-V,-1,Netherlands,40
Jazz,-1,UK,95
Jazz,-1,Germany,75
Jazz,-1,France,56
Jazz,-1,Italy,72
Jazz,-1,Netherlands,48
e:Ny1,-1,UK,60
e:Ny1,-1,Germany,47
e:Ny1,-1,France,35
e:Ny1,-1,Netherlands,30
Civic,0,UK,127
Civic,0,Germany,100
Civic,0,France,74
Civic,0,Spain,85
Civic,0,Belgium,53
Civic,0,Nordics,63
Civic,0,Portugal,71
CR-V,0,UK,127
CR-V,0,Germany,100
CR-V,0,France,74
CR-V,0,Spain,85
CR-V,0,Belgium,53
CR-V,0,Nordics,63
CR-V,0,Portugal,71
HR-V,0,UK,63
HR-V,0,Germany,50
HR-V,0,France,37
HR-V,0,Spain,42
HR-V,0,Belgium,26
HR-V,0,Nordics,32
HR-V,0,Portugal,36
Jazz,0,UK,76
Jazz,0,Germany,60
Jazz,0,France,44
Jazz,0,Spain,51
Jazz,0,Belgium,32
Jazz,0,Nordics,38
Jazz,0,Portugal,43
e:Ny1,0,UK,52
e:Ny1,0,Germany,42
e:Ny1,0,France,31
e:Ny1,0,Belgium,22
e:Ny1,0,Nordics,26
Civic,1,UK,137
Civic,1,Germany,108
Civic,1,France,80
Civic,1,Italy,103
Civic,1,Netherlands,68
Civic,1,Poland,77
CR-V,1,UK,137
CR-V,1,Germany,108
CR-V,1,France,80
CR-V,1,Italy,103
CR-V,1,Netherlands,68
CR-V,1,Poland,77
HR-V,1,UK,68
HR-V,1,Germany,54
HR-V,1,France,40
HR-V,1,Italy,51
HR-V,1,Netherlands,34
HR-V,1,Poland,39
Jazz,1,UK,82
Jazz,1,Germany,65
Jazz,1,France,48
Jazz,1,Italy,61
Jazz,1,Netherlands,41
Jazz,1,Poland,46
e:Ny1,1,UK,61
e:Ny1,1,Germany,48
e:Ny1,1,France,36
e:Ny1,1,Netherlands,31
Civic,2,UK,143
Civic,2,Germany,114
Civic,2,France,84
Civic,2,Spain,96
Civic,2,Belgium,60
Civic,2,Nordics,72
CR-V,2,UK,143
CR-V,2,Germany,114
CR-V,2,France,84
CR-V,2,Spain,96
CR-V,2,Belgium,60
CR-V,2,Nordics,72
HR-V,2,UK,72
HR-V,2,Germany,57
HR-V,2,France,42
HR-V,2,Spain,48
HR-V,2,Belgium,30
HR-V,2,Nordics,36
Jazz,2,UK,86
Jazz,2,Germany,68
Jazz,2,France,50
Jazz,2,Spain,58
Jazz,2,Belgium,36
Jazz,2,Nordics,43
e:Ny1,2,UK,54
e:Ny1,2,Germany,43
e:Ny1,2,France,32
e:Ny1,2,Belgium,22
e:Ny1,2,Nordics,27
Civic,3,UK,141
Civic,3,Germany,111
Civic,3,France,82
Civic,3,Italy,105
Civic,3,Netherlands,70
Civic,3,Portugal,79
CR-V,3,UK,141
CR-V,3,Germany,111
CR-V,3,France,82
CR-V,3,Italy,105
CR-V,3,Netherlands,70
CR-V,3,Portugal,79
HR-V,3,UK,70
HR-V,3,Germany,56
HR-V,3,France,41
HR-V,3,Italy,53
HR-V,3,Netherlands,35
HR-V,3,Portugal,39
Jazz,3,UK,84
Jazz,3,Germany,67
Jazz,3,France,49
Jazz,3,Italy,63
Jazz,3,Netherlands,42
Jazz,3,Portugal,47
e:Ny1,3,UK,65
e:Ny1,3,Germany,51
e:Ny1,3,France,38
e:Ny1,3,Netherlands,32
Civic,4,UK,156
Civic,4,Germany,124
Civic,4,France,91
Civic,4,Spain,104
Civic,4,Belgium,65
Civic,4,Poland,88
Civic,4,Nordics,78
CR-V,4,UK,156
CR-V,4,Germany,124
CR-V,4,France,91
CR-V,4,Spain,104
CR-V,4,Belgium,65
CR-V,4,Poland,88
CR-V,4,Nordics,78
HR-V,4,UK,78
HR-V,4,Germany,62
HR-V,4,France,46
HR-V,4,Spain,52
HR-V,4,Belgium,32
HR-V,4,Poland,44
HR-V,4,Nordics,39
Jazz,4,UK,93
Jazz,4,Germany,74
Jazz,4,France,55
Jazz,4,Spain,62
Jazz,4,Belgium,39
Jazz,4,Poland,53
Jazz,4,Nordics,47
e:Ny1,4,UK,69
e:Ny1,4,Germany,55
e:Ny1,4,France,40
e:Ny1,4,Belgium,29
e:Ny1,4,Nordics,34
Civic,5,UK,195
Civic,5,Germany,154
Civic,5,France,114
Civic,5,Italy,146
Civic,5,Netherlands,98
CR-V,5,UK,195
CR-V,5,Germany,154
CR-V,5,France,114
CR-V,5,Italy,146
CR-V,5,Netherlands,98
HR-V,5,UK,97
HR-V,5,Germany,77
HR-V,5,France,57
HR-V,5,Italy,73
HR-V,5,Netherlands,49
Jazz,5,UK,117
Jazz,5,Germany,93
Jazz,5,France,68
Jazz,5,Italy,88
Jazz,5,Netherlands,58
e:Ny1,5,UK,80
e:Ny1,5,Germany,63
e:Ny1,5,France,47
e:Ny1,5,Netherlands,40
Civic,6,UK,154
Civic,6,Germany,122
Civic,6,France,90
Civic,6,Spain,103
Civic,6,Belgium,64
Civic,6,Nordics,77
Civic,6,Portugal,86
CR-V,6,UK,154
CR-V,6,Germany,122
CR-V,6,France,90
CR-V,6,Spain,102
CR-V,6,Belgium,64
CR-V,6,Nordics,77
CR-V,6,Portugal,86
HR-V,6,UK,77
HR-V,6,Germany,61
HR-V,6,France,45
HR-V,6,Spain,51
HR-V,6,Belgium,32
HR-V,6,Nordics,39
HR-V,6,Portugal,43
Jazz,6,UK,92
Jazz,6,Germany,73
Jazz,6,France,54
Jazz,6,Spain,62
Jazz,6,Belgium,38
Jazz,6,Nordics,46
Jazz,6,Portugal,52
e:Ny1,6,UK,70
e:Ny1,6,Germany,55
e:Ny1,6,France,41
e:Ny1,6,Belgium,29
e:Ny1,6,Nordics,35
Civic,7,UK,169
Civic,7,Germany,134
Civic,7,France,99
Civic,7,Italy,127
Civic,7,Netherlands,85
Civic,7,Poland,95
CR-V,7,UK,169
CR-V,7,Germany,134
CR-V,7,France,99
CR-V,7,Italy,127
CR-V,7,Netherlands,85
CR-V,7,Poland,95
HR-V,7,UK,85
HR-V,7,Germany,67
HR-V,7,France,49
HR-V,7,Italy,64
HR-V,7,Netherlands,42
HR-V,7,Poland,48
Jazz,7,UK,102
Jazz,7,Germany,80
Jazz,7,France,59
Jazz,7,Italy,76
Jazz,7,Netherlands,51
Jazz,7,Poland,57
e:Ny1,7,UK,83
e:Ny1,7,Germany,65
e:Ny1,7,France,48
e:Ny1,7,Netherlands,41
Civic,8,UK,169
Civic,8,Germany,134
Civic,8,France,99
Civic,8,Spain,113
Civic,8,Belgium,71
Civic,8,Nordics,85
CR-V,8,UK,169
CR-V,8,Germany,134
CR-V,8,France,99
CR-V,8,Spain,113
CR-V,8,Belgium,71
CR-V,8,Nordics,85
HR-V,8,UK,85
HR-V,8,Germany,67
HR-V,8,France,49
HR-V,8,Spain,57
HR-V,8,Belgium,35
HR-V,8,Nordics,42
Jazz,8,UK,102
Jazz,8,Germany,80
Jazz,8,France,59
Jazz,8,Spain,68
Jazz,8,Belgium,42
Jazz,8,Nordics,51
e:Ny1,8,UK,69
e:Ny1,8,Germany,55
e:Ny1,8,France,40
