model,production_week,week_start_date,status,units
HR-V,47,2027-07-05,planned,288
Jazz,47,2027-07-05,planned,345
e:Ny1,47,2027-07-05,planned,297
Civic,48,2027-07-12,planned,590
CR-V,48,2027-07-12,planned,590
HR-V,48,2027-07-12,planned,295
Jazz,48,2027-07-12,planned,354
e:Ny1,48,2027-07-12,planned,307
Civic,49,2027-07-19,planned,580
CR-V,49,2027-07-19,planned,579
HR-V,49,2027-07-19,planned,290
Jazz,49,2027-07-19,planned,348
e:Ny1,49,2027-07-19,planned,304
Civic,50,2027-07-26,planned,599
CR-V,50,2027-07-26,planned,599
HR-V,50,2027-07-26,planned,299
Jazz,50,2027-07-26,planned,359
e:Ny1,50,2027-07-26,planned,317
Civic,51,2027-08-02,planned,529
CR-V,51,2027-08-02,planned,529
HR-V,51,2027-08-02,planned,264
Jazz,51,2027-08-02,planned,317
e:Ny1,51,2027-08-02,planned,282
