model,market,calendar_week,week_start_date,demand_units
Jazz,Belgium,-18,2026-04-06,20
Jazz,Poland,-18,2026-04-06,18
Jazz,Nordics,-18,2026-04-06,24
Jazz,Portugal,-18,2026-04-06,18
e:Ny1,UK,-18,2026-04-06,49
e:Ny1,Germany,-18,2026-04-06,39
e:Ny1,France,-18,2026-04-06,28
e:Ny1,Italy,-18,2026-04-06,0
e:Ny1,Spain,-18,2026-04-06,0
e:Ny1,Netherlands,-18,2026-04-06,12
e:Ny1,Belgium,-18,2026-04-06,10
e:Ny1,Poland,-18,2026-04-06,0
e:Ny1,Nordics,-18,2026-04-06,12
e:Ny1,Portugal,-18,2026-04-06,0
Civic,UK,-17,2026-04-13,162
Civic,Germany,-17,2026-04-13,129
Civic,France,-17,2026-04-13,95
Civic,Italy,-17,2026-04-13,61
Civic,Spain,-17,2026-04-13,54
Civic,Netherlands,-17,2026-04-13,41
Civic,Belgium,-17,2026-04-13,34
Civic,Poland,-17,2026-04-13,30
Civic,Nordics,-17,2026-04-13,41
Civic,Portugal,-17,2026-04-13,30
CR-V,UK,-17,2026-04-13,162
CR-V,Germany,-17,2026-04-13,129
CR-V,France,-17,2026-04-13,95
CR-V,Italy,-17,2026-04-13,61
CR-V,Spain,-17,2026-04-13,54
CR-V,Netherlands,-17,2026-04-13,41
CR-V,Belgium,-17,2026-04-13,34
CR-V,Poland,-17,2026-04-13,30
CR-V,Nordics,-17,2026-04-13,41
CR-V,Portugal,-17,2026-04-13,30
HR-V,UK,-17,2026-04-13,81
HR-V,Germany,-17,2026-04-13,64
HR-V,France,-17,2026-04-13,47
HR-V,Italy,-17,2026-04-13,30
HR-V,Spain,-17,2026-04-13,27
HR-V,Netherlands,-17,2026-04-13,20
HR-V,Belgium,-17,2026-04-13,17
HR-V,Poland,-17,2026-04-13,15
HR-V,Nordics,-17,2026-04-13,20
HR-V,Portugal,-17,2026-04-13,15
Jazz,UK,-17,2026-04-13,97
Jazz,Germany,-17,2026-04-13,77
Jazz,France,-17,2026-04-13,57
Jazz,Italy,-17,2026-04-13,37
Jazz,Spain,-17,2026-04-13,32
Jazz,Netherlands,-17,2026-04-13,24
Jazz,Belgium,-17,2026-04-13,20
Jazz,Poland,-17,2026-04-13,18
Jazz,Nordics,-17,2026-04-13,24
Jazz,Portugal,-17,2026-04-13,18
e:Ny1,UK,-17,2026-04-13,50
e:Ny1,Germany,-17,2026-04-13,39
e:Ny1,France,-17,2026-04-13,29
e:Ny1,Italy,-17,2026-04-13,0
e:Ny1,Spain,-17,2026-04-13,0
e:Ny1,Netherlands,-17,2026-04-13,12
e:Ny1,Belgium,-17,2026-04-13,10
e:Ny1,Poland,-17,2026-04-13,0
e:Ny1,Nordics,-17,2026-04-13,12
e:Ny1,Portugal,-17,2026-04-13,0
Civic,UK,-16,2026-04-20,162
Civic,Germany,-16,2026-04-20,128
Civic,France,-16,2026-04-20,95
Civic,Italy,-16,2026-04-20,61
Civic,Spain,-16,2026-04-20,54
Civic,Netherlands,-16,2026-04-20,41
Civic,Belgium,-16,2026-04-20,34
Civic,Poland,-16,2026-04-20,30
Civic,Nordics,-16,2026-04-20,41
Civic,Portugal,-16,2026-04-20,30
CR-V,UK,-16,2026-04-20,162
CR-V,Germany,-16,2026-04-20,128
CR-V,France,-16,2026-04-20,95
CR-V,Italy,-16,2026-04-20,61
CR-V,Spain,-16,2026-04-20,54
CR-V,Netherlands,-16,2026-04-20,41
CR-V,Belgium,-16,2026-04-20,34
CR-V,Poland,-16,2026-04-20,30
CR-V,Nordics,-16,2026-04-20,41
CR-V,Portugal,-16,2026-04-20,30
HR-V,UK,-16,2026-04-20,81
HR-V,Germany,-16,2026-04-20,64
HR-V,France,-16,2026-04-20,47
HR-V,Italy,-16,2026-04-20,30
HR-V,Spain,-16,2026-04-20,27
HR-V,Netherlands,-16,2026-04-20,20
HR-V,Belgium,-16,2026-04-20,17
HR-V,Poland,-16,2026-04-20,15
HR-V,Nordics,-16,2026-04-20,20
HR-V,Portugal,-16,2026-04-20,15
Jazz,UK,-16,2026-04-20,97
Jazz,Germany,-16,2026-04-20,77
Jazz,France,-16,2026-04-20,57
Jazz,Italy,-16,2026-04-20,36
Jazz,Spain,-16,2026-04-20,32
Jazz,Netherlands,-16,2026-04-20,24
Jazz,Belgium,-16,2026-04-20,20
Jazz,Poland,-16,2026-04-20,18
Jazz,Nordics,-16,2026-04-20,24
Jazz,Portugal,-16,2026-04-20,18
e:Ny1,UK,-16,2026-04-20,51
e:Ny1,Germany,-16,2026-04-20,40
e:Ny1,France,-16,2026-04-20,30
e:Ny1,Italy,-16,2026-04-20,0
e:Ny1,Spain,-16,2026-04-20,0
e:Ny1,Netherlands,-16,2026-04-20,13
e:Ny1,Belgium,-16,2026-04-20,11
e:Ny1,Poland,-16,2026-04-20,0
e:Ny1,Nordics,-16,2026-04-20,13
e:Ny1,Portugal,-16,2026-04-20,0
Civic,UK,-15,2026-04-27,162
Civic,Germany,-15,2026-04-27,128
Civic,France,-15,2026-04-27,94
Civic,Italy,-15,2026-04-27,61
Civic,Spain,-15,2026-04-27,54
Civic,Netherlands,-15,2026-04-27,40
Civic,Belgium,-15,2026-04-27,34
Civic,Poland,-15,2026-04-27,30
Civic,Nordics,-15,2026-04-27,40
Civic,Portugal,-15,2026-04-27,30
CR-V,UK,-15,2026-04-27,162
CR-V,Germany,-15,2026-04-27,128
CR-V,France,-15,2026-04-27,94
CR-V,Italy,-15,2026-04-27,61
CR-V,Spain,-15,2026-04-27,54
CR-V,Netherlands,-15,2026-04-27,40
CR-V,Belgium,-15,2026-04-27,34
CR-V,Poland,-15,2026-04-27,30
CR-V,Nordics,-15,2026-04-27,40
CR-V,Portugal,-15,2026-04-27,30
HR-V,UK,-15,2026-04-27,81
HR-V,Germany,-15,2026-04-27,64
HR-V,France,-15,2026-04-27,47
HR-V,Italy,-15,2026-04-27,30
HR-V,Spain,-15,2026-04-27,27
HR-V,Netherlands,-15,2026-04-27,20
HR-V,Belgium,-15,2026-04-27,17
HR-V,Poland,-15,2026-04-27,15
HR-V,Nordics,-15,2026-04-27,20
HR-V,Portugal,-15,2026-04-27,15
Jazz,UK,-15,2026-04-27,97
Jazz,Germany,-15,2026-04-27,77
Jazz,France,-15,2026-04-27,57
Jazz,Italy,-15,2026-04-27,36
Jazz,Spain,-15,2026-04-27,32
Jazz,Netherlands,-15,2026-04-27,24
Jazz,Belgium,-15,2026-04-27,20
Jazz,Poland,-15,2026-04-27,18
Jazz,Nordics,-15,2026-04-27,24
Jazz,Portugal,-15,2026-04-27,18
e:Ny1,UK,-15,2026-04-27,52
e:Ny1,Germany,-15,2026-04-27,41
e:Ny1,France,-15,2026-04-27,30
e:Ny1,Italy,-15,2026-04-27,0
e:Ny1,Spain,-15,2026-04-27,0
e:Ny1,Netherlands,-15,2026-04-27,13
e:Ny1,Belgium,-15,2026-04-27,11
e:Ny1,Poland,-15,2026-04-27,0
e:Ny1,Nordics,-15,2026-04-27,13
e:Ny1,Portugal,-15,2026-04-27,0
Civic,UK,-14,2026-05-04,162
Civic,Germany,-14,2026-05-04,128
Civic,France,-14,2026-05-04,94
Civic,Italy,-14,2026-05-04,61
Civic,Spain,-14,2026-05-04,54
Civic,Netherlands,-14,2026-05-04,40
Civic,Belgium,-14,2026-05-04,34
Civic,Poland,-14,2026-05-04,30
Civic,Nordics,-14,2026-05-04,40
Civic,Portugal,-14,2026-05-04,30
CR-V,UK,-14,2026-05-04,162
CR-V,Germany,-14,2026-05-04,128
CR-V,France,-14,2026-05-04,94
CR-V,Italy,-14,2026-05-04,61
CR-V,Spain,-14,2026-05-04,54
CR-V,Netherlands,-14,2026-05-04,40
CR-V,Belgium,-14,2026-05-04,34
CR-V,Poland,-14,2026-05-04,30
CR-V,Nordics,-14,2026-05-04,40
CR-V,Portugal,-14,2026-05-04,30
HR-V,UK,-14,2026-05-04,81
HR-V,Germany,-14,2026-05-04,64
HR-V,France,-14,2026-05-04,47
HR-V,Italy,-14,2026-05-04,30
HR-V,Spain,-14,2026-05-04,27
HR-V,Netherlands,-14,2026-05-04,20
HR-V,Belgium,-14,2026-05-04,17
HR-V,Poland,-14,2026-05-04,15
HR-V,Nordics,-14,2026-05-04,20
HR-V,Portugal,-14,2026-05-04,15
Jazz,UK,-14,2026-05-04,97
Jazz,Germany,-14,2026-05-04,77
Jazz,France,-14,2026-05-04,57
Jazz,Italy,-14,2026-05-04,36
Jazz,Spain,-14,2026-05-04,32
Jazz,Netherlands,-14,2026-05-04,24
Jazz,Belgium,-14,2026-05-04,20
Jazz,Poland,-14,2026-05-04,18
Jazz,Nordics,-14,2026-05-04,24
Jazz,Portugal,-14,2026-05-04,18
e:Ny1,UK,-14,2026-05-04,52
e:Ny1,Germany,-14,2026-05-04,42
e:Ny1,France,-14,2026-05-04,31
e:Ny1,Italy,-14,2026-05-04,0
e:Ny1,Spain,-14,2026-05-04,0
e:Ny1,Netherlands,-14,2026-05-04,13
e:Ny1,Belgium,-14,2026-05-04,11
e:Ny1,Poland,-14,2026-05-04,0
e:Ny1,Nordics,-14,2026-05-04,13
e:Ny1,Portugal,-14,2026-05-04,0
Civic,UK,-13,2026-05-11,161
Civic,Germany,-13,2026-05-11,128
