model,market,calendar_week,week_start_date,units
Jazz,Netherlands,-23,2026-03-02,24
Jazz,Belgium,-23,2026-03-02,20
Jazz,Poland,-23,2026-03-02,18
Jazz,Nordics,-23,2026-03-02,15
Jazz,Portugal,-23,2026-03-02,21
e:Ny1,UK,-23,2026-03-02,28
e:Ny1,Germany,-23,2026-03-02,22
e:Ny1,France,-23,2026-03-02,15
e:Ny1,Netherlands,-23,2026-03-02,9
e:Ny1,Belgium,-23,2026-03-02,6
e:Ny1,Nordics,-23,2026-03-02,5
Civic,UK,-22,2026-03-09,150
Civic,Germany,-22,2026-03-09,115
Civic,France,-22,2026-03-09,76
Civic,Italy,-22,2026-03-09,82
Civic,Spain,-22,2026-03-09,55
Civic,Netherlands,-22,2026-03-09,48
Civic,Belgium,-22,2026-03-09,33
Civic,Poland,-22,2026-03-09,15
Civic,Nordics,-22,2026-03-09,28
Civic,Portugal,-22,2026-03-09,28
CR-V,UK,-22,2026-03-09,150
CR-V,Germany,-22,2026-03-09,115
CR-V,France,-22,2026-03-09,76
CR-V,Italy,-22,2026-03-09,82
CR-V,Spain,-22,2026-03-09,55
CR-V,Netherlands,-22,2026-03-09,48
CR-V,Belgium,-22,2026-03-09,33
CR-V,Poland,-22,2026-03-09,15
CR-V,Nordics,-22,2026-03-09,28
CR-V,Portugal,-22,2026-03-09,28
HR-V,UK,-22,2026-03-09,72
HR-V,Germany,-22,2026-03-09,51
HR-V,France,-22,2026-03-09,40
HR-V,Italy,-22,2026-03-09,25
HR-V,Spain,-22,2026-03-09,21
HR-V,Netherlands,-22,2026-03-09,13
HR-V,Belgium,-22,2026-03-09,11
HR-V,Poland,-22,2026-03-09,15
HR-V,Nordics,-22,2026-03-09,20
HR-V,Portugal,-22,2026-03-09,13
Jazz,UK,-22,2026-03-09,87
Jazz,Germany,-22,2026-03-09,61
Jazz,France,-22,2026-03-09,47
Jazz,Italy,-22,2026-03-09,30
Jazz,Spain,-22,2026-03-09,25
Jazz,Netherlands,-22,2026-03-09,16
Jazz,Belgium,-22,2026-03-09,14
Jazz,Poland,-22,2026-03-09,18
Jazz,Nordics,-22,2026-03-09,25
Jazz,Portugal,-22,2026-03-09,16
e:Ny1,UK,-22,2026-03-09,31
e:Ny1,Germany,-22,2026-03-09,22
e:Ny1,France,-22,2026-03-09,16
e:Ny1,Netherlands,-22,2026-03-09,6
e:Ny1,Belgium,-22,2026-03-09,4
e:Ny1,Nordics,-22,2026-03-09,7
Civic,UK,-21,2026-03-16,152
Civic,Germany,-21,2026-03-16,120
Civic,France,-21,2026-03-16,85
Civic,Italy,-21,2026-03-16,60
Civic,Spain,-21,2026-03-16,33
Civic,Netherlands,-21,2026-03-16,34
Civic,Belgium,-21,2026-03-16,20
Civic,Poland,-21,2026-03-16,28
Civic,Nordics,-21,2026-03-16,39
Civic,Portugal,-21,2026-03-16,37
CR-V,UK,-21,2026-03-16,152
CR-V,Germany,-21,2026-03-16,119
CR-V,France,-21,2026-03-16,85
CR-V,Italy,-21,2026-03-16,60
CR-V,Spain,-21,2026-03-16,33
CR-V,Netherlands,-21,2026-03-16,34
CR-V,Belgium,-21,2026-03-16,20
CR-V,Poland,-21,2026-03-16,28
CR-V,Nordics,-21,2026-03-16,39
CR-V,Portugal,-21,2026-03-16,37
HR-V,UK,-21,2026-03-16,75
HR-V,Germany,-21,2026-03-16,57
HR-V,France,-21,2026-03-16,38
HR-V,Italy,-21,2026-03-16,41
HR-V,Spain,-21,2026-03-16,28
HR-V,Netherlands,-21,2026-03-16,24
HR-V,Belgium,-21,2026-03-16,16
HR-V,Poland,-21,2026-03-16,7
HR-V,Nordics,-21,2026-03-16,14
HR-V,Portugal,-21,2026-03-16,14
Jazz,UK,-21,2026-03-16,91
Jazz,Germany,-21,2026-03-16,69
Jazz,France,-21,2026-03-16,46
Jazz,Italy,-21,2026-03-16,49
Jazz,Spain,-21,2026-03-16,33
Jazz,Netherlands,-21,2026-03-16,29
Jazz,Belgium,-21,2026-03-16,20
Jazz,Poland,-21,2026-03-16,9
Jazz,Nordics,-21,2026-03-16,17
Jazz,Portugal,-21,2026-03-16,17
e:Ny1,UK,-21,2026-03-16,32
e:Ny1,Germany,-21,2026-03-16,24
e:Ny1,France,-21,2026-03-16,17
e:Ny1,Netherlands,-21,2026-03-16,10
e:Ny1,Belgium,-21,2026-03-16,7
e:Ny1,Nordics,-21,2026-03-16,5
Civic,UK,-20,2026-03-23,151
Civic,Germany,-20,2026-03-23,119
Civic,France,-20,2026-03-23,88
Civic,Italy,-20,2026-03-23,75
Civic,Spain,-20,2026-03-23,53
Civic,Netherlands,-20,2026-03-23,47
Civic,Belgium,-20,2026-03-23,34
Civic,Poland,-20,2026-03-23,27
Civic,Nordics,-20,2026-03-23,24
Civic,Portugal,-20,2026-03-23,28
CR-V,UK,-20,2026-03-23,151
CR-V,Germany,-20,2026-03-23,119
CR-V,France,-20,2026-03-23,88
CR-V,Italy,-20,2026-03-23,75
CR-V,Spain,-20,2026-03-23,53
CR-V,Netherlands,-20,2026-03-23,47
CR-V,Belgium,-20,2026-03-23,34
CR-V,Poland,-20,2026-03-23,27
CR-V,Nordics,-20,2026-03-23,24
CR-V,Portugal,-20,2026-03-23,28
HR-V,UK,-20,2026-03-23,76
HR-V,Germany,-20,2026-03-23,60
HR-V,France,-20,2026-03-23,43
HR-V,Italy,-20,2026-03-23,30
HR-V,Spain,-20,2026-03-23,17
HR-V,Netherlands,-20,2026-03-23,17
HR-V,Belgium,-20,2026-03-23,10
HR-V,Poland,-20,2026-03-23,14
HR-V,Nordics,-20,2026-03-23,20
HR-V,Portugal,-20,2026-03-23,18
Jazz,UK,-20,2026-03-23,91
Jazz,Germany,-20,2026-03-23,72
Jazz,France,-20,2026-03-23,50
Jazz,Italy,-20,2026-03-23,36
Jazz,Spain,-20,2026-03-23,20
Jazz,Netherlands,-20,2026-03-23,21
Jazz,Belgium,-20,2026-03-23,12
Jazz,Poland,-20,2026-03-23,17
Jazz,Nordics,-20,2026-03-23,23
Jazz,Portugal,-20,2026-03-23,22
e:Ny1,UK,-20,2026-03-23,35
e:Ny1,Germany,-20,2026-03-23,26
e:Ny1,France,-20,2026-03-23,19
e:Ny1,Netherlands,-20,2026-03-23,7
e:Ny1,Belgium,-20,2026-03-23,4
e:Ny1,Nordics,-20,2026-03-23,8
Civic,UK,-19,2026-03-30,158
Civic,Germany,-19,2026-03-30,120
Civic,France,-19,2026-03-30,88
Civic,Italy,-19,2026-03-30,39
Civic,Spain,-19,2026-03-30,38
Civic,Netherlands,-19,2026-03-30,29
Civic,Belgium,-19,2026-03-30,24
Civic,Poland,-19,2026-03-30,14
Civic,Nordics,-19,2026-03-30,41
Civic,Portugal,-19,2026-03-30,21
CR-V,UK,-19,2026-03-30,158
CR-V,Germany,-19,2026-03-30,120
CR-V,France,-19,2026-03-30,88
CR-V,Italy,-19,2026-03-30,39
CR-V,Spain,-19,2026-03-30,38
CR-V,Netherlands,-19,2026-03-30,29
CR-V,Belgium,-19,2026-03-30,24
CR-V,Poland,-19,2026-03-30,14
CR-V,Nordics,-19,2026-03-30,41
CR-V,Portugal,-19,2026-03-30,21
HR-V,UK,-19,2026-03-30,75
HR-V,Germany,-19,2026-03-30,61
HR-V,France,-19,2026-03-30,44
HR-V,Italy,-19,2026-03-30,37
HR-V,Spain,-19,2026-03-30,26
HR-V,Netherlands,-19,2026-03-30,24
HR-V,Belgium,-19,2026-03-30,17
HR-V,Poland,-19,2026-03-30,13
HR-V,Nordics,-19,2026-03-30,12
HR-V,Portugal,-19,2026-03-30,14
Jazz,UK,-19,2026-03-30,90
Jazz,Germany,-19,2026-03-30,72
Jazz,France,-19,2026-03-30,53
Jazz,Italy,-19,2026-03-30,45
Jazz,Spain,-19,2026-03-30,32
Jazz,Netherlands,-19,2026-03-30,28
Jazz,Belgium,-19,2026-03-30,21
Jazz,Poland,-19,2026-03-30,16
Jazz,Nordics,-19,2026-03-30,15
Jazz,Portugal,-19,2026-03-30,17
e:Ny1,UK,-19,2026-03-30,35
e:Ny1,Germany,-19,2026-03-30,28
e:Ny1,France,-19,2026-03-30,19
e:Ny1,Netherlands,-19,2026-03-30,12
e:Ny1,Belgium,-19,2026-03-30,8
e:Ny1,Nordics,-19,2026-03-30,5
Civic,UK,-18,2026-04-06,155
Civic,Germany,-18,2026-04-06,125
Civic,France,-18,2026-04-06,89
Civic,Italy,-18,2026-04-06,60
Civic,Spain,-18,2026-04-06,52
Civic,Netherlands,-18,2026-04-06,47
Civic,Belgium,-18,2026-04-06,39
Civic,Poland,-18,2026-04-06,34
Civic,Nordics,-18,2026-04-06,29
Civic,Portugal,-18,2026-04-06,28
CR-V,UK,-18,2026-04-06,155
CR-V,Germany,-18,2026-04-06,125
CR-V,France,-18,2026-04-06,89
CR-V,Italy,-18,2026-04-06,60
CR-V,Spain,-18,2026-04-06,52
CR-V,Netherlands,-18,2026-04-06,47
CR-V,Belgium,-18,2026-04-06,39
CR-V,Poland,-18,2026-04-06,34
CR-V,Nordics,-18,2026-04-06,29
CR-V,Portugal,-18,2026-04-06,28
HR-V,UK,-18,2026-04-06,79
HR-V,Germany,-18,2026-04-06,59
HR-V,France,-18,2026-04-06,44
HR-V,Italy,-18,2026-04-06,20
HR-V,Spain,-18,2026-04-06,19
HR-V,Netherlands,-18,2026-04-06,15
HR-V,Belgium,-18,2026-04-06,12
HR-V,Poland,-18,2026-04-06,7
HR-V,Nordics,-18,2026-04-06,21
HR-V,Portugal,-18,2026-04-06,11
Jazz,UK,-18,2026-04-06,95
Jazz,Germany,-18,2026-04-06,72
Jazz,France,-18,2026-04-06,53
Jazz,Italy,-18,2026-04-06,24
Jazz,Spain,-18,2026-04-06,22
Jazz,Netherlands,-18,2026-04-06,18
Jazz,Belgium,-18,2026-04-06,14
Jazz,Poland,-18,2026-04-06,8
Jazz,Nordics,-18,2026-04-06,24
Jazz,Portugal,-18,2026-04-06,13
e:Ny1,UK,-18,2026-04-06,37
e:Ny1,Germany,-18,2026-04-06,27
e:Ny1,France,-18,2026-04-06,20
e:Ny1,Netherlands,-18,2026-04-06,7
e:Ny1,Belgium,-18,2026-04-06,5
e:Ny1,Nordics,-18,2026-04-06,10
Civic,UK,-17,2026-04-13,166
Civic,Germany,-17,2026-04-13,123
Civic,France,-17,2026-04-13,92
Civic,Italy,-17,2026-04-13,41
Civic,Spain,-17,2026-04-13,33
Civic,Netherlands,-17,2026-04-13,32
Civic,Belgium,-17,2026-04-13,26
Civic,Poland,-17,2026-04-13,33
Civic,Nordics,-17,2026-04-13,46
Civic,Portugal,-17,2026-04-13,21
CR-V,UK,-17,2026-04-13,166
CR-V,Germany,-17,2026-04-13,123
CR-V,France,-17,2026-04-13,92
CR-V,Italy,-17,2026-04-13,41
CR-V,Spain,-17,2026-04-13,33
CR-V,Netherlands,-17,2026-04-13,32
CR-V,Belgium,-17,2026-04-13,26
CR-V,Poland,-17,2026-04-13,33
CR-V,Nordics,-17,2026-04-13,46
CR-V,Portugal,-17,2026-04-13,21
HR-V,UK,-17,2026-04-13,78
HR-V,Germany,-17,2026-04-13,63
HR-V,France,-17,2026-04-13,44
HR-V,Italy,-17,2026-04-13,30
HR-V,Spain,-17,2026-04-13,26
HR-V,Netherlands,-17,2026-04-13,23
HR-V,Belgium,-17,2026-04-13,19
HR-V,Poland,-17,2026-04-13,17
HR-V,Nordics,-17,2026-04-13,14
HR-V,Portugal,-17,2026-04-13,14
Jazz,UK,-17,2026-04-13,94
Jazz,Germany,-17,2026-04-13,75
Jazz,France,-17,2026-04-13,53
Jazz,Italy,-17,2026-04-13,36
Jazz,Spain,-17,2026-04-13,32
Jazz,Netherlands,-17,2026-04-13,28
Jazz,Belgium,-17,2026-04-13,23
Jazz,Poland,-17,2026-04-13,20
Jazz,Nordics,-17,2026-04-13,17
Jazz,Portugal,-17,2026-04-13,17
e:Ny1,UK,-17,2026-04-13,39
e:Ny1,Germany,-17,2026-04-13,30
e:Ny1,France,-17,2026-04-13,21
e:Ny1,Netherlands,-17,2026-04-13,13
e:Ny1,Belgium,-17,2026-04-13,9
e:Ny1,Nordics,-17,2026-04-13,7
Civic,UK,-16,2026-04-20,166
Civic,Germany,-16,2026-04-20,132
Civic,France,-16,2026-04-20,90
Civic,Italy,-16,2026-04-20,69
Civic,Spain,-16,2026-04-20,53
Civic,Netherlands,-16,2026-04-20,54
Civic,Belgium,-16,2026-04-20,38
Civic,Poland,-16,2026-04-20,17
Civic,Nordics,-16,2026-04-20,31
Civic,Portugal,-16,2026-04-20,23
CR-V,UK,-16,2026-04-20,166
CR-V,Germany,-16,2026-04-20,132
CR-V,France,-16,2026-04-20,90
CR-V,Italy,-16,2026-04-20,69
CR-V,Spain,-16,2026-04-20,53
CR-V,Netherlands,-16,2026-04-20,54
CR-V,Belgium,-16,2026-04-20,38
CR-V,Poland,-16,2026-04-20,17
CR-V,Nordics,-16,2026-04-20,31
CR-V,Portugal,-16,2026-04-20,23
HR-V,UK,-16,2026-04-20,83
HR-V,Germany,-16,2026-04-20,61
HR-V,France,-16,2026-04-20,46
HR-V,Italy,-16,2026-04-20,21
HR-V,Spain,-16,2026-04-20,17
HR-V,Netherlands,-16,2026-04-20,16
HR-V,Belgium,-16,2026-04-20,13
HR-V,Poland,-16,2026-04-20,17
HR-V,Nordics,-16,2026-04-20,23
HR-V,Portugal,-16,2026-04-20,10
Jazz,UK,-16,2026-04-20,99
Jazz,Germany,-16,2026-04-20,75
Jazz,France,-16,2026-04-20,55
Jazz,Italy,-16,2026-04-20,25
Jazz,Spain,-16,2026-04-20,19
Jazz,Netherlands,-16,2026-04-20,19
Jazz,Belgium,-16,2026-04-20,15
Jazz,Poland,-16,2026-04-20,20
Jazz,Nordics,-16,2026-04-20,28
Jazz,Portugal,-16,2026-04-20,12
e:Ny1,UK,-16,2026-04-20,41
e:Ny1,Germany,-16,2026-04-20,30
e:Ny1,France,-16,2026-04-20,22
e:Ny1,Netherlands,-16,2026-04-20,8
e:Ny1,Belgium,-16,2026-04-20,5
e:Ny1,Nordics,-16,2026-04-20,10
Civic,UK,-15,2026-04-27,167
Civic,Germany,-15,2026-04-27,132
Civic,France,-15,2026-04-27,98
Civic,Italy,-15,2026-04-27,52
Civic,Spain,-15,2026-04-27,38
Civic,Netherlands,-15,2026-04-27,37
Civic,Belgium,-15,2026-04-27,25
Civic,Poland,-15,2026-04-27,33
Civic,Nordics,-15,2026-04-27,46
Civic,Portugal,-15,2026-04-27,30
CR-V,UK,-15,2026-04-27,166
CR-V,Germany,-15,2026-04-27,132
CR-V,France,-15,2026-04-27,98
CR-V,Italy,-15,2026-04-27,51
CR-V,Spain,-15,2026-04-27,38
CR-V,Netherlands,-15,2026-04-27,37
CR-V,Belgium,-15,2026-04-27,25
CR-V,Poland,-15,2026-04-27,33
CR-V,Nordics,-15,2026-04-27,46
CR-V,Portugal,-15,2026-04-27,30
HR-V,UK,-15,2026-04-27,83
HR-V,Germany,-15,2026-04-27,66
HR-V,France,-15,2026-04-27,45
HR-V,Italy,-15,2026-04-27,35
HR-V,Spain,-15,2026-04-27,27
HR-V,Netherlands,-15,2026-04-27,27
HR-V,Belgium,-15,2026-04-27,20
HR-V,Poland,-15,2026-04-27,8
HR-V,Nordics,-15,2026-04-27,15
HR-V,Portugal,-15,2026-04-27,12
Jazz,UK,-15,2026-04-27,100
Jazz,Germany,-15,2026-04-27,79
Jazz,France,-15,2026-04-27,54
Jazz,Italy,-15,2026-04-27,42
Jazz,Spain,-15,2026-04-27,33
Jazz,Netherlands,-15,2026-04-27,33
Jazz,Belgium,-15,2026-04-27,23
Jazz,Poland,-15,2026-04-27,10
Jazz,Nordics,-15,2026-04-27,19
Jazz,Portugal,-15,2026-04-27,14
e:Ny1,UK,-15,2026-04-27,43
e:Ny1,Germany,-15,2026-04-27,34
e:Ny1,France,-15,2026-04-27,23
e:Ny1,Netherlands,-15,2026-04-27,13
e:Ny1,Belgium,-15,2026-04-27,10
e:Ny1,Nordics,-15,2026-04-27,7
Civic,UK,-14,2026-05-04,168
Civic,Germany,-14,2026-05-04,131
Civic,France,-14,2026-05-04,96
Civic,Italy,-14,2026-05-04,72
Civic,Spain,-14,2026-05-04,61
Civic,Netherlands,-14,2026-05-04,53
Civic,Belgium,-14,2026-05-04,37
Civic,Poland,-14,2026-05-04,33
Civic,Nordics,-14,2026-05-04,29
Civic,Portugal,-14,2026-05-04,23
CR-V,UK,-14,2026-05-04,168
CR-V,Germany,-14,2026-05-04,131
CR-V,France,-14,2026-05-04,96
CR-V,Italy,-14,2026-05-04,72
CR-V,Spain,-14,2026-05-04,61
CR-V,Netherlands,-14,2026-05-04,53
CR-V,Belgium,-14,2026-05-04,37
CR-V,Poland,-14,2026-05-04,33
CR-V,Nordics,-14,2026-05-04,29
CR-V,Portugal,-14,2026-05-04,23
HR-V,UK,-14,2026-05-04,83
HR-V,Germany,-14,2026-05-04,65
HR-V,France,-14,2026-05-04,48
HR-V,Italy,-14,2026-05-04,26
HR-V,Spain,-14,2026-05-04,19
HR-V,Netherlands,-14,2026-05-04,19
HR-V,Belgium,-14,2026-05-04,12
HR-V,Poland,-14,2026-05-04,17
HR-V,Nordics,-14,2026-05-04,23
HR-V,Portugal,-14,2026-05-04,15
Jazz,UK,-14,2026-05-04,100
Jazz,Germany,-14,2026-05-04,78
Jazz,France,-14,2026-05-04,59
Jazz,Italy,-14,2026-05-04,31
Jazz,Spain,-14,2026-05-04,23
Jazz,Netherlands,-14,2026-05-04,22
Jazz,Belgium,-14,2026-05-04,15
Jazz,Poland,-14,2026-05-04,20
Jazz,Nordics,-14,2026-05-04,27
Jazz,Portugal,-14,2026-05-04,18
e:Ny1,UK,-14,2026-05-04,45
e:Ny1,Germany,-14,2026-05-04,33
e:Ny1,France,-14,2026-05-04,25
e:Ny1,Netherlands,-14,2026-05-04,9
e:Ny1,Belgium,-14,2026-05-04,6
e:Ny1,Nordics,-14,2026-05-04,11
Civic,UK,-13,2026-05-11,174
Civic,Germany,-13,2026-05-11,134
Civic,France,-13,2026-05-11,96
Civic,Italy,-13,2026-05-11,45
Civic,Spain,-13,2026-05-11,42
Civic,Netherlands,-13,2026-05-11,33
Civic,Belgium,-13,2026-05-11,25
Civic,Poland,-13,2026-05-11,17
Civic,Nordics,-13,2026-05-11,46
Civic,Portugal,-13,2026-05-11,24
CR-V,UK,-13,2026-05-11,174
CR-V,Germany,-13,2026-05-11,134
CR-V,France,-13,2026-05-11,96
CR-V,Italy,-13,2026-05-11,45
CR-V,Spain,-13,2026-05-11,42
CR-V,Netherlands,-13,2026-05-11,33
CR-V,Belgium,-13,2026-05-11,25
CR-V,Poland,-13,2026-05-11,17
CR-V,Nordics,-13,2026-05-11,46
CR-V,Portugal,-13,2026-05-11,24
HR-V,UK,-13,2026-05-11,84
HR-V,Germany,-13,2026-05-11,66
HR-V,France,-13,2026-05-11,49
HR-V,Italy,-13,2026-05-11,36
HR-V,Spain,-13,2026-05-11,30
HR-V,Netherlands,-13,2026-05-11,26
HR-V,Belgium,-13,2026-05-11,19
HR-V,Poland,-13,2026-05-11,17
HR-V,Nordics,-13,2026-05-11,15
HR-V,Portugal,-13,2026-05-11,11
Jazz,UK,-13,2026-05-11,101
Jazz,Germany,-13,2026-05-11,79
Jazz,France,-13,2026-05-11,57
Jazz,Italy,-13,2026-05-11,43
Jazz,Spain,-13,2026-05-11,36
Jazz,Netherlands,-13,2026-05-11,31
Jazz,Belgium,-13,2026-05-11,22
Jazz,Poland,-13,2026-05-11,20
Jazz,Nordics,-13,2026-05-11,18
Jazz,Portugal,-13,2026-05-11,14
e:Ny1,UK,-13,2026-05-11,45
e:Ny1,Germany,-13,2026-05-11,36
e:Ny1,France,-13,2026-05-11,24
e:Ny1,Netherlands,-13,2026-05-11,15
e:Ny1,Belgium,-13,2026-05-11,10
e:Ny1,Nordics,-13,2026-05-11,7
Civic,UK,-12,2026-05-18,170
Civic,Germany,-12,2026-05-18,138
Civic,France,-12,2026-05-18,99
Civic,Italy,-12,2026-05-18,69
Civic,Spain,-12,2026-05-18,61
Civic,Netherlands,-12,2026-05-18,52
Civic,Belgium,-12,2026-05-18,43
Civic,Poland,-12,2026-05-18,38
Civic,Nordics,-12,2026-05-18,30
Civic,Portugal,-12,2026-05-18,33
CR-V,UK,-12,2026-05-18,170
CR-V,Germany,-12,2026-05-18,138
CR-V,France,-12,2026-05-18,99
CR-V,Italy,-12,2026-05-18,69
